"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Random.ID","A1_1","A2_1","A2_2","A2_3","A2_4","A2_5","A3_1","A3_2","A4_1","A5_1","A5_2","A5_3","A5_4","A5_5","A5_6","A5_7","A5_8","A5_9","A5_10","A5_11","A5_12","A5_13","A5_14","A5_15","A5_16","A5_17","A5_18","A5_19","A5_20","A5_21","A5_22","A5_23","A5_24","A5_25","A6_1","A6_2","A6_3","A6_4","A6_5","A6_6","A7_1","A7_2","A7_3","A7_4","A7_5","A7_6","A7_7","A7_8","A7_9","A7_10","A7_11","A7_12","A7_13","A7_14","A7_15","A7_16","A7_17","A7_18","A7_19","A7_20","A7_21","A7_22","A7_23","A7_24","A7_25","A7_26","A7_27","A8_1","A8_2","A8_3","A8_4","A8_5","A8_6","A8_7","A8_8","A9_1","A9_2","A9_3","A9_4","A9_5","A9_6","A9_7","A9_8","A9_9","A9_10","A9_11","A9_12","A9_13","A9_14","A9_15","A9_16","A9_17","A9_18","A9_19","A9_20","A9_21","A9_22","A9_23","A9_24","A9_25","A10_1","A10_2","A10_3","A11_1","A11_2","A12_3","A13_1","A13_2","A14_1","A14_2","A14_3","A14_4","A14_5","A15_1","A15_2","A16_1","A16_2","A17_1","A18_1","A19_1","A19_2","A19_3","A19_4","A20_1","A20_2","A20_3","A20_4","A20_5","A20_6","A21_1","A22_1","A22_2","A23_1","A24_1","A25_1","A25_2","A25_3","A26_1","A27_1","A27_2","A28_1","A28_2","A28_3","A28_4","A28_5","A28_6","A28_7","A28_8","A28_9","A28_10","A29_1","A29_2","A29_3"
"2021-06-22 19:20:49","2021-06-22 19:25:10","0","","100","261","1","2021-06-22 19:25:11","R_0wCXCBhvm0jdXvX","","","","","","","anonymous","EN","3558","1","50","59","29","42","51","35","47","58","4","2","2","3","3","2","3","1","3","2","2","3","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","3","3","4","4","3","3","4","3","4","4","4","3","4","4","4","4","3","3","4","4","2","3","3","4","4","4","3","3","3","2","2","2","3","3","3","3","2","2","3","3","2","2","2","2","3","2","2","2","4","2","3","2","2","3","2","2","3","2","2","3","2","1","2","2","4","34","45","43","51","69","6","41","20","28","67","44","29","52","41","2","38","45","49","44","50","56","46","26","28","46","42","42","52","38","53","20","3","","","43","250","100","28","1","1","75000","28","Chula Vista","2","2","2","6","1","6","2"
"2021-06-22 19:19:48","2021-06-22 19:31:01","0","","100","673","1","2021-06-22 19:31:02","R_zfoIY8NpHAN1f1L","","","","","","","anonymous","EN","6536","1","20","60","30","30","20","30","37","30","2","2","4","2","5","1","2","1","2","1","2","1","2","2","4","4","4","1","1","2","1","1","1","1","4","4","4","4","4","4","4","1","1","1","1","1","2","2","1","1","2","2","2","4","1","2","1","4","1","1","1","1","2","2","2","1","1","2","5","1","5","4","1","5","4","1","2","1","1","2","2","2","1","1","1","1","1","5","1","1","1","4","2","2","4","1","4","2","2","2","1","2","2","4","65","40","15","21","57","48","41","15","14","5","25","77","44","63","2","60","70","44","71","61","70","70","39","39","71","81","44","45","41","40","1500","1","15","","30","1000","2000","37","2","1","150000","37","Solano","2","2","1","1","1","6","2"
"2021-06-22 19:24:45","2021-06-22 19:34:39","0","","100","594","1","2021-06-22 19:34:39","R_1gtf3rrUwckOWc1","","","","","","","anonymous","EN","9823","1","17","57","20","20","3","25","16","20","4","2","4","2","2","4","5","1","1","1","1","4","4","5","5","4","5","5","5","5","5","2","1","1","5","2","2","3","3","4","2","2","2","1","1","2","2","1","1","2","2","2","1","1","1","2","1","4","1","2","4","5","2","1","1","1","2","5","5","1","5","5","1","5","5","1","1","1","1","1","1","1","2","2","2","1","1","5","5","4","1","5","5","1","5","1","5","1","1","1","4","4","1","5","70","30","25","31","42","53","30","10","12","7","8","89","30","70","1","60","70","40","25","25","50","90","11","30","50","50","80","60","40","30","10000","1","5","","30","2000","30000","39","1","1","22000","31","Sacramento","1","2","3","1","1","6","2"
"2021-06-22 19:26:58","2021-06-22 19:53:20","0","","100","1581","1","2021-06-22 19:53:20","R_1kS1VeWe77kj2VU","","","","","","","anonymous","EN","9250","1","5","70","20","30","3","30","5","60","3","2","2","3","2","1","2","1","1","1","1","1","2","2","3","4","4","4","4","2","2","2","2","1","1","4","3","3","3","3","3","1","1","2","2","2","2","2","2","2","3","3","2","2","1","3","3","4","2","","","","","","","","","","5","3","3","3","3","3","3","3","2","1","2","1","3","2","1","2","2","2","2","5","1","1","3","2","1","1","2","3","3","3","2","2","3","3","3","4","60","40","3","5","13","55","70","65","10","40","10","90","60","50","2.0","40","45","20","39","30","81","80","80","90","97","100","71","80","72","20","2000.00","1","3","","70","500","2000","72","2","1","12000","65","Sacramento","1","2","2","7","1","6","2"
"2021-06-22 19:37:35","2021-06-22 19:53:39","0","","100","963","1","2021-06-22 19:53:39","R_PBOSoZCnopGv7KF","","","","","","","anonymous","EN","3678","1","50","51","34","49","38","41","48","50","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","","2","2","1","1","3","5","5","5","2","3","5","5","1","1","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","1","1","1","1","1","1","1","1","1","1","1","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","66","48","42","33","44","43","50","39","30","39","39","51","33","41","7","40","21","2","","23","32","20","9","7","9","15","5","17","8","16","300","1","2","","21","1500","2000","41","2","1","70000","41","USA","2","2","1","2","1","6","2"
"2021-06-22 19:52:50","2021-06-22 20:04:45","0","","100","715","1","2021-06-22 20:04:46","R_2tg20Sd9vFQ8x2Y","","","","","","","anonymous","EN","9685","1","10","69","14","20","4","15","2","30","5","4","5","1","5","5","5","1","1","1","3","5","5","5","5","4","5","5","5","5","5","2","1","1","3","2","1","4","2","4","2","2","2","1","1","2","2","1","1","1","1","1","1","1","2","2","2","4","1","2","5","4","1","1","1","3","3","5","5","1","5","5","1","5","5","1","1","2","1","3","2","2","2","1","1","1","1","5","3","2","1","5","5","1","5","1","5","1","1","1","3","2","1","4","48","52","40","30","20","40","25","20","3","7","40","60","50","50","12","30","40","25","51","32","40","50","10","10","30","70","40","30","30","30","3500","3","","","60","600","1000","46","2","6","65000","45","san mateo","2","2","3","1","1","6","2"
"2021-06-22 19:40:20","2021-06-22 20:05:22","0","","100","1502","1","2021-06-22 20:05:23","R_dmYDVo1mJ0nLa8x","","","","","","","anonymous","EN","6783","1","7","54","12","37","2","8","4","13","2","2","4","3","4","4","4","1","1","1","2","4","4","4","3","3","4","4","4","4","4","2","2","2","2","2","2","2","2","3","2","1","1","2","2","1","1","1","1","2","2","1","2","1","1","2","2","4","1","2","3","3","2","2","2","2","2","3","5","1","5","5","1","5","5","1","1","1","1","1","1","1","1","1","1","1","1","5","2","1","1","4","4","1","4","1","4","1","1","2","3","2","2","4","74","23","5","22","30","42","25","30","2","2","16","85","17","83","0.25","72","70","11","60","22","36","91","34","16","57","71","40","35","11","15","350","1","5","","10","800","1100","34","1","2","174000","34","LA","3","2","3","2","1","6","2"
"2021-06-22 20:24:19","2021-06-22 20:28:37","0","","100","257","1","2021-06-22 20:28:37","R_3QKwfVhWdvmAoOv","","","","","","","anonymous","EN","6002","1","83","90","84","89","83","87","86","81","2","2","3","2","3","3","2","1","2","2","2","3","2","2","2","2","2","3","2","2","2","3","2","2","2","1","2","2","3","2","2","3","2","2","2","2","3","2","2","2","2","3","2","2","3","4","4","4","2","2","3","2","3","2","3","2","2","3","3","2","3","2","2","3","2","3","2","3","2","3","2","2","2","2","3","2","2","5","1","2","3","2","2","3","1","2","2","3","2","2","2","1","3","4","85","76","86","84","85","86","86","87","87","89","86","90","85","87","6","84","84","82","84","83","85","83","91","84","91","83","86","82","87","87","5","1","5","","87","5","3","35","1","1","80000","6","usa","1","1","1","1","1","5","1"
"2021-06-22 20:19:40","2021-06-22 20:37:09","0","","100","1048","1","2021-06-22 20:37:09","R_3xYlvjIvvNA0eo9","","","","","","","anonymous","EN","7204","1","45","19","19","20","21","20","26","30","4","1","4","3","4","1","1","1","1","1","2","1","4","3","3","3","3","4","2","2","2","2","1","1","4","3","4","4","4","4","4","1","1","2","1","2","2","1","1","2","2","2","2","1","1","1","1","4","2","1","2","2","2","2","2","1","1","2","5","1","5","2","1","5","2","1","2","1","1","1","1","1","2","1","1","1","1","5","2","1","2","3","4","1","5","1","4","2","1","4","4","2","4","4","20","14","36","19","54","42","25","20","17","12","32","65","30","68","5","60","45","36","76","23","45","66","77","72","53","83","80","39","46","45","10000","1","4","","90","1000","3000","27","2","5","39000","27","san bernardino","2","2","1","1","1","5","2"
"2021-06-24 15:16:17","2021-06-24 15:21:51","0","","100","333","1","2021-06-24 15:21:51","R_1N9aPRivQ19CAVl","","","","","","","anonymous","EN","6955","1","86","81","70","21","85","80","66","87","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","1","2","4","86","77","86","83","69","77","65","56","67","75","82","64","80","67","122","75","86","74","64","86","79","62","73","83","73","81","81","63","81","87","500","2","","5","77","20","20","30","1","4","80000","30","Orange county","2","2","1","1","1","6","2"
